"SLNG_YMD","SWAY_CD","SLNG_TM","CBN_CD","CBN_NO","SHPCO_CD","SHIP_CD","NOFL","CBN_TYP","PNCBN","MKRV_CNT","HOLD_CNT","PREO_CNT","OCC_CNT","RMN_CNT","DSGN_SEAT_YN","CLPORT_YN","EXPN","REG_ID","REG_DT"
"20230930","LNWDCJ","0900","CBP10","5303","HXF","SHP03","5","CTFL0","50","18","25","-2","17.5","9","N","N",\N,"GUEST","2023-08-24 09:49:28"
"20231003","LNCJWD","1710","CBP10","5303","HXF","SHP03","5","CTFL0","50","22","25","-2","22.0","5","N","N",\N,"GUEST","2023-08-24 09:49:28"
"20230904","LNCJWD","0720","CB310","5305","HXF","SHP03","5","CTFL0","26","20","0","-6","18.0","12","N","N",\N,"GUEST","2023-08-24 09:27:08"
"20230826","LNRSCJ","0020","CB210","5201","HXF","SHP01","5","CTFL0","24","7","0","-2","5.0","19","N","N",\N,"ysgje","2023-08-24 09:26:05"
"20230826","LNRSCJ","0020","CB310","6301","HXF","SHP01","6","CTFL0","72","14","0","-1","13.0","59","N","N",\N,"ysgje","2023-08-24 09:26:05"
"20230825","LNWDCJ","0900","CB310","5302","HXF","SHP03","5","CTFL0","48","25","0","-4","18.5","27","N","N",\N,"wdkhc","2023-08-24 09:16:31"
"20230909","LNCJWD","0720","CB310","5302","HXF","SHP03","5","CTFL0","48","24","0","-1","17.0","25","N","N",\N,"GUEST","2023-08-24 09:08:00"
"20231006","LNRSCJ","0020","CB310","6301","HXF","SHP01","6","CTFL0","72","19","0","-2","17.0","55","N","N",\N,"GUEST","2023-08-24 08:24:14"
"20230908","LNWDCJ","0230","CB310","5301","HXF","SHP03","5","CTFL0","25","11","0","-1","10.0","15","N","N",\N,"GUEST","2023-08-23 23:15:28"
"20230910","LNWDCJ","1500","CB310","5306","HXF","SHP03","5","CTFL0","52","21","0","-1","14.0","32","N","N",\N,"GUEST","2023-08-23 22:44:38"
"20230824","LNWDCJ","1500","CB310","5304","HXF","SHP02","5","CTFL0","41","12","21","-1","11.0","9","N","N",\N,"GUEST","2023-08-23 22:35:27"
"20230827","LNCJWD","1710","CB310","5301","HXF","SHP03","5","CTFL0","25","27","0","-2","20.5","0","N","N","","GUEST","2023-08-23 22:22:44"
"20230902","LNWDCJ","0230","CB310","5306","HXF","SHP03","5","CTFL0","52","8","0","-1","4.0","45","N","N",\N,"GUEST","2023-08-23 19:12:19"
"20230930","LNCJRS","1530","CB310","6302","HXF","SHP01","6","CTFL0","60","41","0","-2","41.0","21","N","N",\N,"GUEST","2023-08-23 17:40:05"
